3 old(1889,1897) new(2099,2107)
3 old(1687,1709) new(1885,1907)
3 old(1694,1705) new(2022,2033)
3 old(1688,1703) new(1948,1963)
3 old(1691,1699) new(2099,2107)
3 old(1514,1525) new(1896,1907)
3 old(1514,1525) new(1698,1709)
3 old(1488,1499) new(2442,2453)
3 old(1320,1361) new(1440,1481)
3 old(1186,1195) new(1210,1219)
3 old(1147,1165) new(1169,1187)
3 old(1111,1121) new(1127,1137)
3 old(814,825) new(2022,2033)
3 old(810,825) new(1888,1903)
3 old(810,825) new(1690,1705)
3 old(810,823) new(1950,1963)
3 old(811,819) new(2099,2107)
3 old(620,631) new(636,647)
3 old(562,573) new(1894,1905)
3 old(562,573) new(1696,1707)
3 old(564,573) new(1514,1523)
3 old(562,571) new(2024,2033)
3 old(562,571) new(816,825)
3 old(268,287) new(974,993)
3 old(242,257) new(978,993)
3 old(242,257) new(272,287)
3 old(209,217) new(1803,1811)
3 old(186,197) new(956,967)
3 old(159,167) new(175,183)
3 old(143,151) new(175,183)
3 old(143,151) new(159,167)
3 old(124,139) new(978,993)
3 old(124,139) new(272,287)
3 old(123,139) new(241,257)
3 old(110,119) new(956,965)
3 old(110,119) new(186,195)
Seg Counter is : 194 
[1]  Download:    0000 [3FF8] 
[2]  Download:    0040 [3FF9] 
[3]  Download:    0000 [3FFA] 
[4]  Download:    0000 [3FFB] 
[5]  Download:    0068 [3FFC] 
[13]  Copy from old code forward, StartingX =   5 , Starting Y = 5 , length =  11  
[14]  Download:    0064 [4008] 
[15]  Download:    004A [4009] 
[16]  Download:    003E [400A] 
[17]  Download:    0040 [400B] 
[18]  Download:    0000 [400C] 
[19]  Download:    0011 [400D] 
[20]  Download:    003D [400E] 
[21]  Download:    0040 [400F] 
[22]  Download:    0004 [4010] 
[30]  Copy from old code forward, StartingX =   25 , Starting Y = 25 , length =  17  
[31]  Download:    0004 [4022] 
[32]  Download:    0011 [4023] 
[33]  Download:    003D [4024] 
[34]  Download:    0040 [4025] 
[35]  Download:    0038 [4026] 
